STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,TMAX,TMIN,TOBS
GHCND:USC00356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19730801,0,294,133,217
GHCND:USC00356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19730802,0,300,128,217
GHCND:USC00356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19730803,0,289,133,172
GHCND:USC00356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19730804,0,267,128,178
GHCND:USC00356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19730805,0,228,122,178
GHCND:USC00356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19730806,0,256,144,194
GHCND:USC00356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19730807,0,267,128,206
GHCND:USC00356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19730808,0,294,139,228
GHCND:USC00356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19730809,0,267,150,161
GHCND:USC00356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19730810,0,239,133,172
GHCND:USC00356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19730811,0,272,128,206
GHCND:USC00356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19730812,53,328,156,206
GHCND:USC00356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19730813,0,267,139,167
GHCND:USC00356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19730814,0,272,122,183
GHCND:USC00356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19730815,0,239,106,156
GHCND:USC00356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19730816,3,189,106,144
GHCND:USC00356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19730817,0,217,94,144
GHCND:USC00356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19730818,0,239,78,167
GHCND:USC00356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19730819,0,278,100,150
GHCND:USC00356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19730820,0,239,89,161
GHCND:USC00356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19730821,0,250,94,139
GHCND:USC00356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19730822,0,233,83,156
GHCND:USC00356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19730823,13,178,89,133
GHCND:USC00356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19730824,340,167,122,139
GHCND:USC00356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19730825,0,239,122,161
GHCND:USC00356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19730826,0,211,100,156
GHCND:USC00356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19730827,0,194,133,144
GHCND:USC00356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19730828,0,256,100,178
GHCND:USC00356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19730829,0,239,150,172
GHCND:USC00356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19730830,13,172,122,122
GHCND:USC00356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19730831,0,200,89,128
GHCND:USC00356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19730901,0,244,67,183
GHCND:USC00356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19730902,0,300,100,189
GHCND:USC00356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19730903,0,283,111,211
GHCND:USC00356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19730904,0,356,144,244
GHCND:USC00356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19730905,0,294,167,167
GHCND:USC00356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19730906,147,211,144,150
GHCND:USC00356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19730907,25,211,122,128
GHCND:USC00356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19730908,0,244,83,183
GHCND:USC00356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19730909,0,294,122,228
GHCND:USC00356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19730910,0,361,156,267
GHCND:USC00356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19730911,0,267,122,183
GHCND:USC00356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19730912,0,244,128,178
GHCND:USC00356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19730913,0,267,117,150
GHCND:USC00356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19730914,0,194,117,139
GHCND:USC00356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19730915,0,233,100,178
GHCND:USC00356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19730916,0,261,150,167
GHCND:USC00356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19730917,5,211,128,156
GHCND:USC00356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19730918,15,206,139,144
GHCND:USC00356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19730919,69,194,128,156
GHCND:USC00356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19730920,175,183,133,144
GHCND:USC00356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19730921,41,200,133,139
GHCND:USC00356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19730922,175,150,122,128
GHCND:USC00356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19730923,56,167,122,128
GHCND:USC00356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19730924,246,178,111,133
GHCND:USC00356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19730925,0,211,89,139
GHCND:USC00356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19730926,0,244,89,183
GHCND:USC00356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19730927,0,278,128,178
GHCND:USC00356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19730928,0,283,122,183
GHCND:USC00356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19730929,0,211,133,128
GHCND:USC00356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19730930,0,172,78,122
GHCND:USC00356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19731001,0,167,67,94
GHCND:USC00356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19731002,0,167,56,89
GHCND:USC00356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19731003,0,183,50,122
GHCND:USC00356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19731004,0,200,61,106
GHCND:USC00356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19731005,38,183,72,106
GHCND:USC00356749,PORTLAND KGW TV OR US,48.5,45.51667,-122.68333,19731006,178,150,78,78
